Geo Point;Geo Shape;gid;num_materiel;type;insee;sens_orientation;orientation;tmjo_tv;tmjo_vl;tmjo_pl;hpm_tv;hps_tv;v85_vl;v85_pl;annee;semaine;orientation_av_2021;cdate;mdate
44.8615369, -0.588906;"{""coordinates"": [-0.588906, 44.8615369], ""type"": ""Point""}";3916;;COMPTAGE_ROUTIER;33069;2;OUEST;2147;2120;27;146;193;39.6;38.4;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8615769, -0.5873739;"{""coordinates"": [-0.5873739, 44.8615769], ""type"": ""Point""}";3921;;COMPTAGE_ROUTIER;33069;2;SUD;23;23;0;4;2;41.7;;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8646839, -0.5877689;"{""coordinates"": [-0.5877689, 44.8646839], ""type"": ""Point""}";3925;;COMPTAGE_ROUTIER;33069;2;OUEST;28;27;1;3;3;23.0;17.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8652149, -0.5877509;"{""coordinates"": [-0.5877509, 44.8652149], ""type"": ""Point""}";3928;;COMPTAGE_ROUTIER;33069;2;OUEST;379;374;6;33;40;27.8;28.5;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8671349, -0.5856399;"{""coordinates"": [-0.5856399, 44.8671349], ""type"": ""Point""}";3933;;COMPTAGE_ROUTIER;33069;1;EST;1805;1788;17;217;181;42.2;37.9;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8671749, -0.5856399;"{""coordinates"": [-0.5856399, 44.8671749], ""type"": ""Point""}";3934;;COMPTAGE_ROUTIER;33069;2;OUEST;1787;1768;19;172;256;40.3;37.8;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8678549, -0.5885269;"{""coordinates"": [-0.5885269, 44.8678549], ""type"": ""Point""}";3938;;COMPTAGE_ROUTIER;33069;2;SUD;562;543;19;60;52;32.7;31.4;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8624099, -0.5904569;"{""coordinates"": [-0.5904569, 44.8624099], ""type"": ""Point""}";3939;;COMPTAGE_ROUTIER;33069;1;EST;154;153;2;15;13;17.7;17.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8653309, -0.590665;"{""coordinates"": [-0.590665, 44.8653309], ""type"": ""Point""}";3943;;COMPTAGE_ROUTIER;33069;1;NORD;4310;4234;76;354;409;34.3;28.1;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8653309, -0.5907049;"{""coordinates"": [-0.5907049, 44.8653309], ""type"": ""Point""}";3944;;COMPTAGE_ROUTIER;33069;2;SUD;3946;3874;72;411;319;37.0;28.7;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8682199, -0.5817439;"{""coordinates"": [-0.5817439, 44.8682199], ""type"": ""Point""}";3949;;COMPTAGE_ROUTIER;33069;1;EST;1618;1592;26;185;165;29.7;31.7;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8682599, -0.5817439;"{""coordinates"": [-0.5817439, 44.8682599], ""type"": ""Point""}";3950;;COMPTAGE_ROUTIER;33069;2;OUEST;2274;2245;29;209;330;29.7;31.9;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8667359, -0.5839359;"{""coordinates"": [-0.5839359, 44.8667359], ""type"": ""Point""}";3951;;COMPTAGE_ROUTIER;33069;1;NORD;804;801;3;65;102;33.0;29.5;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8667359, -0.583976;"{""coordinates"": [-0.583976, 44.8667359], ""type"": ""Point""}";3952;;COMPTAGE_ROUTIER;33069;2;SUD;1780;1761;18;211;181;29.4;27.8;2022;du lundi 02/05/2022 au dimanche 08/05/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8410899, -0.546701;"{""coordinates"": [-0.546701, 44.8410899], ""type"": ""Point""}";3827;;COMPTAGE_ROUTIER;33063;1;NORD;3385;3283;102;258;256;41.4;32.2;2022;du mardi 22/03/2022 au lundi 28/03/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8201949, -0.5776509;"{""coordinates"": [-0.5776509, 44.8201949], ""type"": ""Point""}";3833;;COMPTAGE_ROUTIER;33063;2;OUEST;133;132;0;15;12;29.2;;2022;du lundi 31/01/2022 au dimanche 06/02/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8191729, -0.5782099;"{""coordinates"": [-0.5782099, 44.8191729], ""type"": ""Point""}";3839;;COMPTAGE_ROUTIER;33063;1;NORD;116;116;0;18;9;17.3;;2022;du samedi 29/01/2022 au vendredi 04/02/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
